지역,시기,대분류,항목,유형,6열,7열,8열,9열,10열
비수도권,4월,스튜디오,드레스 추가,선택,3,3,3,5,5
서울,4월,스튜디오,드레스 추가,선택,3,3,3,3,4
경인,4월,스튜디오,드레스 추가,선택,3,3,3,4,7
5대 광역시,4월,스튜디오,드레스 추가,선택,3,3,4,5,5
이외 지역,4월,스튜디오,드레스 추가,선택,3,3,3,5,6
전국,3월,스튜디오,드레스 추가,선택,3,3,3,4,5
수도권,3월,스튜디오,드레스 추가,선택,3,3,3,4,5
비수도권,3월,스튜디오,드레스 추가,선택,3,3,3,5,5
서울,3월,스튜디오,드레스 추가,선택,3,3,3,3,4
경인,3월,스튜디오,드레스 추가,선택,3,3,3,4,7
5대 광역시,3월,스튜디오,드레스 추가,선택,3,3,4,5,5
이외 지역,3월,스튜디오,드레스 추가,선택,3,3,3,5,6
전국,2월,스튜디오,드레스 추가,선택,3,3,3,4,5
수도권,2월,스튜디오,드레스 추가,선택,3,3,3,4,5
비수도권,2월,스튜디오,드레스 추가,선택,3,3,3,5,5
서울,2월,스튜디오,드레스 추가,선택,3,3,3,3,4
경인,2월,스튜디오,드레스 추가,선택,3,3,3,4,7
5대 광역시,2월,스튜디오,드레스 추가,선택,3,3,4,5,5
이외 지역,2월,스튜디오,드레스 추가,선택,3,3,3,5,6
전국,1월,스튜디오,드레스 추가,선택,3,3,3,4,5
수도권,1월,스튜디오,드레스 추가,선택,3,3,3,4,5
비수도권,1월,스튜디오,드레스 추가,선택,3,3,3,5,5
서울,1월,스튜디오,드레스 추가,선택,3,3,3,3,4
경인,1월,스튜디오,드레스 추가,선택,3,3,3,4,7
5대 광역시,1월,스튜디오,드레스 추가,선택,3,3,4,5,5
이외 지역,1월,스튜디오,드레스 추가,선택,3,3,3,5,6
전국,12월,스튜디오,드레스 추가,선택,3,3,3,4,5
수도권,12월,스튜디오,드레스 추가,선택,3,3,3,3,4
비수도권,12월,스튜디오,드레스 추가,선택,3,3,3,4,5
서울,12월,스튜디오,드레스 추가,선택,3,3,3,3,3
경인,12월,스튜디오,드레스 추가,선택,3,3,4,4,5
5대 광역시,12월,스튜디오,드레스 추가,선택,3,3,3,4,5
이외 지역,12월,스튜디오,드레스 추가,선택,3,3,3,5,6
전국,11월,스튜디오,드레스 추가,선택,3,3,3,4,5
수도권,11월,스튜디오,드레스 추가,선택,3,3,3,3,4
비수도권,11월,스튜디오,드레스 추가,선택,3,3,3,4,5
서울,11월,스튜디오,드레스 추가,선택,3,3,3,3,3
경인,11월,스튜디오,드레스 추가,선택,3,3,4,4,5
5대 광역시,11월,스튜디오,드레스 추가,선택,3,3,3,4,5
